model,horizon_minutes,n_cuts,mean_rmse,std_rmse,mean_mae,mean_mape,mean_smape,mean_coverage,mean_interval_width,mean_prediction_error_pct,std_prediction_error_pct
prophet,240,2,2616.285913088188,953.7026670776646,2616.285913088188,2.6010163240204105,2.6361767676281227,1.0,12464.658147090711,-2.6010163240204105,0.5844962694246453
prophet,480,2,6718.2925517829535,8281.505635842683,6718.2925517829535,4.566901606696383,4.723351136382535,1.0,34324.14030617042,-4.566901606696383,4.307618861824723
prophet,720,2,13879.048527765131,17380.274526671285,13879.048527765131,8.753143358405115,9.342424162655572,1.0,61994.97237881708,-8.753143358405115,8.119331969443094
