open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-12-07 16:00:00+00:00,89687.47,89810.37,89170.07,89810.37,0.09218,2025-12-07 16:59:59.999000+00:00,8247.8089882,34,0.04796,4297.534698
2025-12-07 17:00:00+00:00,89836.98,91234.12,89644.76,91122.71,0.17737,2025-12-07 17:59:59.999000+00:00,16065.7462368,115,0.16616,15050.1711746
2025-12-07 18:00:00+00:00,91233.32,91707.55,90970.84,91591.38,0.12854,2025-12-07 18:59:59.999000+00:00,11754.2378372,73,0.07144,6532.1928485
2025-12-07 19:00:00+00:00,91515.57,91638.99,91193.65,91506.1,1.53137,2025-12-07 19:59:59.999000+00:00,139668.3058361,19,0.02315,2118.5244126
2025-12-07 20:00:00+00:00,91538.82,91565.37,91244.51,91549.42,0.01341,2025-12-07 20:59:59.999000+00:00,1226.4305938,29,0.01043,954.4461662
2025-12-07 21:00:00+00:00,91541.93,91541.93,90000.0,90000.0,0.14613,2025-12-07 21:59:59.999000+00:00,13292.2949541,91,0.00655,596.7179062
2025-12-07 22:00:00+00:00,90326.14,90326.14,89106.03,89842.96,1.6485,2025-12-07 22:59:59.999000+00:00,148651.870477,114,1.59872,144185.2411052
2025-12-07 23:00:00+00:00,89842.35,90419.25,89446.09,90419.25,0.11177,2025-12-07 23:59:59.999000+00:00,10044.9513265,48,0.08014,7209.9411986
2025-12-08 00:00:00+00:00,90233.88,90599.58,89880.18,90524.94,0.38009,2025-12-08 00:59:59.999000+00:00,34336.0085273,75,0.07791,7051.0888675
2025-12-08 01:00:00+00:00,90522.28,91691.52,90479.91,90839.21,0.33493,2025-12-08 01:59:59.999000+00:00,30526.4167357,108,0.16978,15454.1979641
2025-12-08 02:00:00+00:00,91078.62,91455.02,90831.91,91455.02,0.03016,2025-12-08 02:59:59.999000+00:00,2751.4761858,33,0.02586,2360.2959823
2025-12-08 03:00:00+00:00,91450.67,91450.67,91016.14,91233.09,0.04876,2025-12-08 03:59:59.999000+00:00,4441.736024,27,0.01274,1163.0893649
2025-12-08 04:00:00+00:00,91230.6,91472.66,90911.14,91091.3,0.07459,2025-12-08 04:59:59.999000+00:00,6806.7904258,37,0.04348,3969.1649946
2025-12-08 05:00:00+00:00,91393.16,91436.8,91013.58,91409.58,0.02257,2025-12-08 05:59:59.999000+00:00,2060.812027,17,0.02245,2049.877083
2025-12-08 06:00:00+00:00,91238.22,91592.96,91238.22,91592.96,0.0837,2025-12-08 06:59:59.999000+00:00,7657.1512155,26,0.08111,7420.6615797
